id	direction	compartment	gpr	name	enzyme	deltag	reference	equation	definition	ms id	bigg id	kegg id	kegg pathways	metacyc pathways
rxn02342_c0	>	Cytosol_0	(gene_3239 and gene_1897)	R03270_c0		-2.81		(1)  cpd00213[c0] + (1)  cpd03049[c0] => (1)  cpd00056[c0] + (1)  cpd00836[c0]	(1)  Lipoamide_c0[c0] + (1)  2-Hydroxyethyl-ThPP_c0[c0] => (1)  TPP_c0[c0] + (1)  S-Acetyldihydrolipoamide_c0[c0]	rxn02342		R03270	Glycolysis / Gluconeogenesis|Citrate cycle (TCA cycle)|Pyruvate metabolism	
rxn08734_c0	>	Cytosol_0	gene_522	hydrogenase (ubiquinone-8: 2 protons) (periplasm)_c0		-25.91		(2)  cpd00067[c0] + (1)  cpd11640[c0] + (1)  cpd15560[c0] => (2)  cpd00067[e0] + (1)  cpd15561[c0]	(2)  H+_c0[c0] + (1)  H2_c0[c0] + (1)  Ubiquinone-8_c0[c0] => (2)  H+_e0[e0] + (1)  Ubiquinol-8_c0[c0]	rxn08734	HYD1pp			
rxn00199_c0	>	Cytosol_0	gene_3915	oxalosuccinate carboxy-lyase (2-oxoglutarate-forming)_c0		-3.09		(1)  cpd00067[c0] + (1)  cpd03187[c0] => (1)  cpd00011[c0] + (1)  cpd00024[c0]	(1)  H+_c0[c0] + (1)  Oxalosuccinate_c0[c0] => (1)  CO2_c0[c0] + (1)  2-Oxoglutarate_c0[c0]	rxn00199	IDP2_2	R00268	Citrate cycle (TCA cycle)	
rxn00172_c0	<	Cytosol_0	gene_1849	Acetate:CoA ligase (ADP-forming)_c0		0.48		(1)  cpd00002[c0] + (1)  cpd00010[c0] + (1)  cpd00029[c0] <= (1)  cpd00008[c0] + (1)  cpd00009[c0] + (1)  cpd00022[c0]	(1)  ATP_c0[c0] + (1)  CoA_c0[c0] + (1)  Acetate_c0[c0] <= (1)  ADP_c0[c0] + (1)  Phosphate_c0[c0] + (1)  Acetyl-CoA_c0[c0]	rxn00172		R00229	Glycolysis / Gluconeogenesis|Pyruvate metabolism	Acetate-Formation|CARBOXYLATES-DEG|Degradation|Energy-Metabolism|Fermentation|Pyruvate-Degradation
rxn00545_c0	>	Cytosol_0	gene_553	ATP:D-fructose-6-phosphate 1-phosphotransferase_c0		-14.03		(1)  cpd00002[c0] + (1)  cpd00072[c0] => (1)  cpd00008[c0] + (1)  cpd00067[c0] + (1)  cpd00290[c0]	(1)  ATP_c0[c0] + (1)  D-fructose-6-phosphate_c0[c0] => (1)  ADP_c0[c0] + (1)  H+_c0[c0] + (1)  D-fructose-1,6-bisphosphate_c0[c0]	rxn00545	PFK	R00756		
rxn05040_c0	>	Cytosol_0	gene_486	D-ribulose 5-phosphate formate-lyase (L-3,4-dihydroxybutan-2-one 4-phosphate-forming)_c0	4.1.99.12	-20.78		(1)  cpd00171[c0] => (1)  cpd00047[c0] + (1)  cpd00067[c0] + (1)  cpd11225[c0]	(1)  D-Ribulose5-phosphate_c0[c0] => (1)  Formate_c0[c0] + (1)  H+_c0[c0] + (1)  3-4-dihydroxy-2-butanone4-phosphate_c0[c0]	rxn05040	DB4PS	R07281	Riboflavin metabolism	Biosynthesis|Cofactor-Biosynthesis|Flavin-Biosynthesis|RIBOSYN2-PWY|Vitamin-Biosynthesis
rxn06493_c0	=	Cytosol_0	gene_3431	dihydrolipoylprotein:NAD+ oxidoreductase_c0		1.55		(1)  cpd00003[c0] + (1)  cpd12225[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd12005[c0]	(1)  NAD_c0[c0] + (1)  Dihydrolipolprotein_c0[c0] <=> (1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  Lipoylprotein_c0[c0]	rxn06493	GCCc	R03815	Glycine, serine and threonine metabolism	
rxn00568_c0	<	Cytosol_0	gene_3874	NIRBD-RXN.c_c0		-91.6		(2)  cpd00001[c0] + (3)  cpd00003[c0] + (1)  cpd00013[c0] <= (3)  cpd00004[c0] + (5)  cpd00067[c0] + (1)  cpd00075[c0]	(2)  H2O_c0[c0] + (3)  NAD_c0[c0] + (1)  NH3_c0[c0] <= (3)  NADH_c0[c0] + (5)  H+_c0[c0] + (1)  Nitrite_c0[c0]	rxn00568	NTRIR2x			Degradation|NITROGEN-DEG|Nitrate-Reduction|Noncarbon-Nutrients|Other-Degradation
rxn00762_c0	=	Cytosol_0	gene_3242	glycerol:NAD+ 2-oxidoreductase_c0	1.1.1.6	3.76		(1)  cpd00003[c0] + (1)  cpd00100[c0] <=> (1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd00157[c0]	(1)  NAD_c0[c0] + (1)  Glycerol_c0[c0] <=> (1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  Glycerone_c0[c0]	rxn00762	GLYCDx	R01034	Glycerolipid metabolism	Alcohol-Degradation|Biosynthesis|Cell-Structure-Biosynthesis|Degradation|Energy-Metabolism|GLYCEROL-DEG|GLYCEROLMETAB-PWY|GOLPDLCAT-PWY
rxn08971_c0	>	Cytosol_0	gene_365	NADH dehydrogenase (menaquinone-8 & 0 protons)_c0		147.01		(1)  cpd00004[c0] + (1)  cpd00067[c0] + (1)  cpd15500[c0] => (1)  cpd00003[c0] + (1)  cpd15499[c0]	(1)  NADH_c0[c0] + (1)  H+_c0[c0] + (1)  Menaquinone 8_c0[c0] => (1)  NAD_c0[c0] + (1)  Menaquinol 8_c0[c0]	rxn08971	NADH10			
